symbol,timestamp_utc,spot,gamma_pin,distance_to_pin,gross_gex,net_gex,call_gex,put_gex,is_valid
DJI,2026-01-06 18:12:38.989615+00:00,49414.22,170.0,49244.22,1.146459991995433e-44,-1.146459991995433e-44,6.069374407157513e-109,1.146459991995433e-44,False
RUT,2026-01-06 18:13:45.267287+00:00,2558.1094000000003,2530.0,28.109400000000278,96.420110271709,6.982114083562514,51.701112177635764,44.71899809407325,True
SPX,2026-01-06 18:16:20.657243+00:00,6935.46,6935.0,0.4600000000000364,2399.289375639232,1995.3431721467073,2197.3162738929695,201.97310174626216,False
NDX,2026-01-06 18:17:25.524459+00:00,25587.84882148025,25600.0,-12.151178519750829,167.71298308847892,110.28718664374836,139.00008486611364,28.71289822236529,True
DJI,2026-01-06 18:17:51.029993+00:00,49427.9,170.0,49257.9,1.1950755168264074e-44,-1.185926212620325e-44,4.5746521030411905e-47,1.1905008647233662e-44,False
RUT,2026-01-06 18:18:54.861036+00:00,2560.3269,2530.0,30.326900000000023,95.72948040884657,8.047185293305695,51.88833285107613,43.841147557770434,True
SPX,2026-01-06 18:21:28.034745+00:00,6936.9800000000005,6935.0,1.980000000000473,2246.842778834602,1889.0790463315548,2067.9609125830784,178.88186625152366,False
NDX,2026-01-06 18:22:33.169924+00:00,25591.15852355282,25600.0,-8.841476447181776,191.3524726643478,121.88551371751456,156.61899319093118,34.73347947341662,True
DJI,2026-01-06 18:22:58.065357+00:00,49408.23,170.0,49238.23,1.202754192365962e-44,-1.2027541923613207e-44,2.320641814467287e-56,1.2027541923636413e-44,False
RUT,2026-01-06 18:24:04.290294+00:00,2560.2867,2530.0,30.28670000000011,95.74205034202083,8.028033293017067,51.885041817518946,43.85700852450188,True
SPX,2026-01-06 18:26:07.679090+00:00,6936.39,6935.0,1.3900000000003274,2302.785108480009,1928.3433338659563,2115.564221172983,187.22088730702646,False
NDX,2026-01-06 18:27:12.497542+00:00,25585.59023184972,25600.0,-14.409768150278978,154.66130642746577,104.80231789224484,129.7318121598553,24.929494267610472,True
DJI,2026-01-06 18:27:36.884876+00:00,49417.17,170.0,49247.17,1.2727940911634006e-44,-1.2723697009864792e-44,2.1219508846073117e-48,1.27258189607494e-44,False
RUT,2026-01-06 18:28:40.405455+00:00,2560.7816000000003,2530.0,30.781600000000253,95.58717742770975,8.263407781007714,51.92529260435873,43.661884823351016,True
SPX,2026-01-06 18:31:13.463397+00:00,6934.87,6935.0,-0.13000000000010914,2462.84260854797,2038.5981148415228,2250.7203616947463,212.12224685322357,False
NDX,2026-01-06 18:32:19.505165+00:00,25578.35579305724,25580.0,-1.6442069427612296,132.37698411539992,99.6520189312242,116.01450152331206,16.362482592087865,True
DJI,2026-01-06 18:32:47.001150+00:00,49413.3,170.0,49243.3,1.3116107298658568e-44,-1.2901148373339539e-44,1.0747946265951448e-46,1.3008627835999054e-44,False
RUT,2026-01-06 18:33:50.563667+00:00,2562.8866000000003,2530.0,32.88660000000027,94.92546850604054,9.25462960600283,52.090049056021684,42.835419450018854,True
SPX,2026-01-06 18:36:24.395131+00:00,6934.18,6935.0,-0.819999999999709,2538.9231972274274,2089.219149190435,2314.071173208931,224.852024018496,False
NDX,2026-01-06 18:37:31.302986+00:00,25579.18512612212,25580.0,-0.814873877880018,133.6323299145301,99.51917615206754,116.57575303329881,17.056576881231265,True
DJI,2026-01-06 18:37:57.150990+00:00,49425.67,170.0,49255.67,1.39418710398999e-44,-1.3941871039844027e-44,2.793578037783552e-56,1.3941871039871963e-44,False
RUT,2026-01-06 18:39:01.042417+00:00,2563.2867,2530.0,33.28670000000011,94.79916660547926,9.441200922771628,52.12018376412544,42.678982841353815,True
SPX,2026-01-06 18:41:05.436546+00:00,6935.89,6935.0,0.8900000000003274,2353.8561929570174,1963.9566981164103,2158.906445536714,194.94974742030357,False
NDX,2026-01-06 18:42:13.161210+00:00,25579.56759797397,25580.0,-0.43240202602828504,134.3014421529102,99.50105250546594,116.90124732918807,17.400194823722128,True
DJI,2026-01-06 18:42:42.342296+00:00,49439.44,170.0,49269.44,1.4696356906542843e-44,-1.4696354798441037e-44,1.0540509014619288e-51,1.469635585249194e-44,False
RUT,2026-01-06 18:43:46.448524+00:00,2562.9525000000003,2530.0,32.95250000000033,94.9046768813929,9.285400031496543,52.095038456444726,42.80963842494818,True
SPX,2026-01-06 18:53:23.659930+00:00,6941.29,6940.0,1.2899999999999636,2080.8384569231034,1738.0629139355965,1909.45068542935,171.38777149375358,False
NDX,2026-01-06 18:54:27.648210+00:00,25613.77898553909,25620.0,-6.221014460908918,373.8419233628175,267.5384757726114,320.69019956771444,53.15172379510309,True
DJI,2026-01-06 18:54:49.990407+00:00,49433.200000000004,170.0,49263.200000000004,1.5892554255734954e-44,-1.589252901731766e-44,1.261920864746166e-50,1.5892541636526307e-44,False
RUT,2026-01-06 18:55:50.973650+00:00,2565.1600000000003,2530.0,35.16000000000031,94.20565012185611,10.306868557411697,52.2562593396339,41.9493907822222,True
SPX,2026-01-06 18:57:23.495425+00:00,6941.610000000001,6940.0,1.610000000000582,2090.860972376202,1737.2017789304077,1914.0313756533048,176.82959672289724,False
NDX,2026-01-06 18:58:29.375626+00:00,25610.82357625621,25620.0,-9.1764237437892,342.8308260120355,242.7179344283391,292.7743802201873,50.05644579184819,True
DJI,2026-01-06 18:58:53.454526+00:00,49451.020000000004,170.0,49281.020000000004,1.6768180637295615e-44,-1.6768180621321801e-44,7.986906361196738e-54,1.6768180629308708e-44,False
RUT,2026-01-06 18:59:57.850251+00:00,2565.8740000000003,2530.0,35.87400000000025,93.9785234896716,10.633372076146252,52.30594778290893,41.67257570676268,True
SPX,2026-01-06 19:01:31.075623+00:00,6943.62,6945.0,-1.3800000000001091,2359.1062129588367,1856.1263070723496,2107.616260015593,251.4899529432435,False
NDX,2026-01-06 19:02:36.223300+00:00,25618.42653234585,25620.0,-1.5734676541505905,425.78534765742523,299.5819187461506,362.6836332017879,63.10171445563729,True
DJI,2026-01-06 19:03:03.198701+00:00,49470.15,170.0,49300.15,1.7966906448737312e-44,-1.7960368921533624e-44,3.26876360184479e-48,1.7963637685135468e-44,False
RUT,2026-01-06 19:04:07.007629+00:00,2565.7443000000003,2530.0,35.744300000000294,94.01981809069123,10.574203909116278,52.297010999903755,41.72280709078748,True
SPX,2026-01-06 19:06:10.380062+00:00,6943.18,6945.0,-1.819999999999709,2260.4742171295534,1805.323851829582,2032.8990344795677,227.57518264998575,False
NDX,2026-01-06 19:07:15.667052+00:00,25617.85748480778,25620.0,-2.1425151922194345,419.6723935031695,296.5739221179821,358.1231578105758,61.549235692593705,True
DJI,2026-01-06 19:07:39.948312+00:00,49475.880000000005,170.0,49305.880000000005,1.8797122475797839e-44,-1.8797028187664943e-44,4.714406644696545e-50,1.879707533173139e-44,False
RUT,2026-01-06 19:08:43.606791+00:00,2566.987,2530.0,36.98700000000008,93.62350752979033,11.138510017362591,52.38100877357646,41.24249875621387,True
